x,y
-3.178672980000000342e-02,4.188885922000000206e-01
-4.837095629999999674e-02,2.657110912999999797e-01
-1.256277648999999941e-01,1.750115365999999895e-01
-2.156665373999999968e-01,1.136393906999999953e-01
-2.979246529999999837e-01,7.054759019999999603e-02
-4.358897416999999996e-01,5.184425200000000039e-02
-6.086571209000000149e-01,6.501517049999999687e-02
-7.249508337000000191e-01,1.100039700000000065e-01
-8.293568502999999481e-01,1.802812578000000110e-01
-9.217497761999999817e-01,2.743738996000000263e-01
-9.571766329999999989e-01,4.221625761000000199e-01
-9.558459906999999811e-01,6.052265045000000399e-01
-9.762601342000000182e-01,7.554427316999999809e-01
-9.699008982000000278e-01,8.589846359999999681e-01
-8.770574196999999517e-01,9.184642285999999878e-01
-7.381057691000000309e-01,9.500479496999999496e-01
-5.940951277999999558e-01,9.679876330000000140e-01
-4.242337475999999885e-01,9.752218405000000478e-01
-2.629546507000000144e-01,9.680889504999999895e-01
-1.937373763000000138e-01,9.443515229000000177e-01
-1.415112377999999949e-01,9.002792804999999454e-01
-5.877976630000000119e-02,8.280648994000000540e-01
4.101058999999999781e-03,7.157506372999999922e-01
1.110360590000000064e-02,5.487143043000000109e-01
2.518181759999999977e-02,3.770931617000000124e-01
7.455079039999999713e-02,2.357325131000000129e-01
9.895936469999999652e-02,1.352528585999999977e-01
9.155732530000000591e-02,7.617724950000000217e-02
1.432482399999999989e-01,4.357738669999999814e-02
2.953134007000000061e-01,3.191635710000000070e-02
4.798421238999999727e-01,3.145436869999999885e-02
6.651479863000000492e-01,3.573952939999999745e-02
8.307885903999999710e-01,5.138757459999999944e-02
9.089147357000000316e-01,9.215912419999999772e-02
9.069898768999999916e-01,1.630282896999999953e-01
9.146353197000000046e-01,2.798070456999999789e-01
9.431910892000000546e-01,4.333944920000000200e-01
9.343876331999999563e-01,5.934089419000000420e-01
8.970123839000000432e-01,7.452192330000000364e-01
8.865032679000000027e-01,8.531636492999999932e-01
8.622141749999999716e-01,9.170983947999999941e-01
7.388889572000000294e-01,9.454247354999999464e-01
5.575723349000000217e-01,9.475595922999999754e-01
3.758985552999999924e-01,9.380846469000000409e-01
2.046027810000000113e-01,9.162495465000000117e-01
9.075534520000000382e-02,8.611425268000000299e-01
7.318842879999999662e-02,7.585447916999999984e-01
8.060240069999999313e-02,6.051732387999999574e-01
7.985065980000000119e-02,4.255630926000000258e-01
1.320130992999999919e-01,2.902881079999999892e-01
2.363309802999999931e-01,1.967978714999999990e-01
3.528599562999999995e-01,1.264273134999999992e-01
4.980795973000000099e-01,9.020390679999999717e-02
6.668231470000000050e-01,1.034990553000000035e-01
7.608119850000000239e-01,1.717533867999999908e-01
8.227764479000000408e-01,2.865539941999999951e-01
8.736211982999999570e-01,4.218860897000000221e-01
8.744424074000000102e-01,5.603156777000000144e-01
8.296669212999999710e-01,7.088445441999999819e-01
7.828049884000000125e-01,8.277678013999999473e-01
6.930857370999999878e-01,8.944087348999999465e-01
5.238256851000000491e-01,9.036281417999999510e-01
3.715767962000000035e-01,8.656546955999999682e-01
2.405483756000000028e-01,8.000595608999999664e-01
1.316063836999999959e-01,7.148859252999999470e-01
8.479838089999999773e-02,5.765696551000000225e-01
8.726282629999999874e-02,3.944387346000000072e-01
8.492292140000000378e-02,2.408172373999999949e-01
1.317179199999999883e-01,1.397313864999999988e-01
2.728110355000000209e-01,9.340064380000000221e-02
4.498684412999999771e-01,7.955366349999999642e-02
6.310322995999999574e-01,7.729685779999999340e-02
7.993750617999999530e-01,9.652788049999999620e-02
8.874139357000000450e-01,1.623602221000000068e-01
8.974741419999999748e-01,2.795186269000000112e-01
9.072294632999999831e-01,4.460065217999999998e-01
8.995616375999999637e-01,6.106360532000000285e-01
8.301627616000000209e-01,7.283170711999999991e-01
7.280686706000000230e-01,8.224445760999999910e-01
6.156119289999999467e-01,8.881878239999999591e-01
4.537214153999999944e-01,9.099106367000000528e-01
3.068230110999999871e-01,8.759370153000000103e-01
2.268438819999999967e-01,7.906782037999999790e-01
1.569242835000000114e-01,6.689645398000000354e-01
1.161556791000000061e-01,5.374475851000000137e-01
1.325537639999999906e-01,3.881914202000000258e-01
1.729575081999999986e-01,2.406833371000000055e-01
2.174752135999999947e-01,1.395254559999999922e-01
3.403087146000000063e-01,9.326089810000000313e-02
5.147065632999999751e-01,1.003740892000000023e-01
6.655840457999999682e-01,1.420582840999999874e-01
8.032824667000000307e-01,2.033426691000000119e-01
9.017658056999999783e-01,2.982615417999999741e-01
9.259600391000000208e-01,4.596386395000000014e-01
9.284400145000000215e-01,6.407715330000000042e-01
9.304966847000000207e-01,7.841993089000000028e-01
8.560194241999999898e-01,8.694789872000000530e-01
7.039316894999999574e-01,9.104579498000000548e-01
5.301813414999999585e-01,9.356805906999999811e-01
3.481722671999999963e-01,9.499394799000000500e-01
1.904510100000000039e-01,9.441996785999999808e-01
1.352242368000000083e-01,9.090486424999999482e-01
1.271805077000000006e-01,8.394995606999999804e-01
8.873904359999999769e-02,7.313173793999999672e-01
4.778765919999999889e-02,5.928989157999999815e-01
5.203005480000000293e-02,4.230577938999999787e-01
6.250751279999999799e-02,2.620049408999999829e-01
4.201441229999999805e-02,1.540847563999999947e-01
5.901779819999999899e-02,8.715108130000000231e-02
1.690714554999999952e-01,5.460316999999999948e-02
3.268242880000000183e-01,4.090356970000000314e-02
4.942946771000000239e-01,3.323299670000000317e-02
6.765375443000000155e-01,3.424127309999999702e-02
8.103867800999999815e-01,5.480759329999999874e-02
8.498616898999999947e-01,9.975534910000000144e-02
8.831083910999999453e-01,1.765594051999999914e-01
9.427703244999999788e-01,2.883527116999999862e-01
9.767492608000000187e-01,4.378661762000000124e-01
9.718653194999999911e-01,6.187203524000000066e-01
9.932497587999999933e-01,7.639860381999999950e-01
1.032412756800000109e+00,8.591179109000000036e-01
1.017016436200000040e+00,9.209804839999999881e-01
9.439407817999999617e-01,9.552030333000000040e-01
8.821237774000000309e-01,9.745358148999999637e-01
8.658026421000000195e-01,9.858278232999999613e-01
8.266676825000000006e-01,9.919889257999999765e-01
6.838924366999999949e-01,9.942882330000000213e-01
4.992924254000000173e-01,9.937326224000000430e-01
3.229526005999999727e-01,9.915754986999999465e-01
1.599333856000000054e-01,9.870978686000000391e-01
6.031188130000000175e-02,9.762254986999999717e-01
5.799553749999999952e-02,9.573284930000000026e-01
7.948611630000000650e-02,9.258569988000000528e-01
4.981832399999999716e-02,8.684488785999999738e-01
-9.077119899999999686e-03,7.785807866999999716e-01
-2.967261239999999939e-02,6.357595826999999922e-01
-2.583431419999999978e-02,4.596504638000000198e-01
-6.194897810000000310e-02,3.053531304000000057e-01
-1.127335656000000019e-01,1.827225747000000011e-01
-1.283400413000000129e-01,1.032083909999999966e-01
-1.631885023999999906e-01,5.812603689999999712e-02
-2.999686574000000050e-01,3.994205819999999824e-02
-4.835727347000000065e-01,4.154108279999999681e-02
-6.611818868000000071e-01,5.294178349999999894e-02
-8.258904845000000217e-01,7.633851949999999331e-02
-9.296050591000000196e-01,1.302459209999999867e-01
-9.391197718999999555e-01,2.273687082999999998e-01
-9.273200437999999934e-01,3.744033419999999723e-01
-9.300303476000000291e-01,5.539285604000000474e-01
-8.859255784999999772e-01,6.963991832999999465e-01
-7.906344462000000073e-01,7.982093072999999483e-01
-6.868205022000000159e-01,8.747559915999999491e-01
-5.569951109999999872e-01,9.166595411000000304e-01
-3.831711859999999970e-01,9.134539617000000389e-01
-2.701442184999999774e-01,8.610650307999999642e-01
-1.928028347999999892e-01,7.664082205000000148e-01
-1.211750964000000014e-01,6.465399330000000111e-01
-9.405773019999999485e-02,5.058881568999999967e-01
-1.160623682999999962e-01,3.394082432000000149e-01
-1.345510525999999984e-01,2.015462238999999878e-01
