Af, gamma_s, lower_error, upper_error
1.200000000000000094e-01 2.399999999999999911e-01 7.182499999999999996e-02 6.165500000000001535e-02
1.400000000000000133e-01 2.500000000000000000e-01 8.393200000000000660e-02 6.204999999999999405e-02
1.600000000000000311e-01 2.700000000000000178e-01 1.085040000000000171e-01 4.997699999999999365e-02
1.800000000000000211e-01 2.600000000000000089e-01 7.765900000000000580e-02 3.832599999999997120e-02
2.000000000000000111e-01 2.500000000000000000e-01 5.724699999999999234e-02 3.980099999999997529e-02
2.200000000000000289e-01 2.399999999999999911e-01 5.113699999999998802e-02 5.590600000000001124e-02
2.400000000000000466e-01 2.700000000000000178e-01 7.809600000000002651e-02 4.307800000000000518e-02
2.600000000000000089e-01 3.099999999999999978e-01 1.524369999999999892e-01 5.502000000000001334e-02
