Af, Wl, Ws
1.200000000000000094e-01 5.006810682811919655e-01 1.413496361575916072e-01
1.400000000000000133e-01 4.738578600676372488e-01 9.685525035180557463e-02
1.600000000000000311e-01 4.448671047920585431e-01 1.118236214582468274e-01
1.800000000000000211e-01 4.096738975480878620e-01 1.146806843871831794e-01
2.000000000000000111e-01 3.693970742882666247e-01 1.068366552252752316e-01
2.200000000000000289e-01 3.191477652717339963e-01 8.642975042472526848e-02
2.400000000000000466e-01 2.581469155575419339e-01 1.262091263972403010e-01
2.600000000000000089e-01 1.815437405226465184e-01 1.304771649356065433e-01
