Af, gamma_l, lower_error, upper_error
1.200000000000000094e-01 7.199999999999999734e-01 3.216699999999994564e-02 5.630000000000023874e-03
1.400000000000000133e-01 7.099999999999999645e-01 2.956199999999997718e-02 1.447200000000004039e-02
1.600000000000000311e-01 6.999999999999999556e-01 3.536499999999997979e-02 1.489800000000007785e-02
1.800000000000000211e-01 6.800000000000000488e-01 5.166100000000006798e-02 1.939699999999999758e-02
2.000000000000000111e-01 6.400000000000000133e-01 5.899900000000002365e-02 3.191900000000003068e-02
2.200000000000000289e-01 5.899999999999999689e-01 9.541799999999994730e-02 4.287400000000007871e-02
2.400000000000000466e-01 5.500000000000000444e-01 1.074240000000000195e-01 4.385099999999997333e-02
2.600000000000000089e-01 5.300000000000000266e-01 2.440700000000006753e-02 1.801799999999997848e-02
