gamma,Ttrap,sd
1.499999999999999944e-01,9.896482277121374516e-01,1.730204252819915814e-02
2.214285714285714468e-01,9.854722203469924446e-01,3.132154318163142548e-02
2.942857142857143171e-01,9.842305383229937865e-01,2.952903808970150715e-02
3.628571428571428781e-01,9.712690425311920617e-01,3.969029732853372044e-02
4.299999999999999933e-01,9.915549329597757033e-01,3.404192118295251701e-02
5.071428571428571175e-01,9.506065318818042176e-01,6.168317947051332739e-02
5.771428571428571797e-01,9.387899755294910609e-01,7.360844289594491163e-02
6.442857142857142394e-01,8.663314012956015997e-01,8.092176841468858017e-02
7.114285714285715212e-01,9.065451695081323535e-01,8.533894407838103768e-02
7.828571428571429180e-01,8.104096520763186540e-01,1.006080886107243721e-01
8.614285714285714324e-01,5.554209316899938464e-01,6.488281834937649484e-02
