gamma,Ttrap,sd
1.600000000000000033e-01,7.558159999996801881e-01,1.202359960719027662e-02
1.799999999999999933e-01,7.475546666663511752e-01,1.152777715416818810e-02
2.000000000000000111e-01,7.429119999996905976e-01,1.060841057013795809e-02
2.200000000000000011e-01,7.551199999996790480e-01,9.251064086434243258e-03
2.399999999999999911e-01,7.631279999996832819e-01,9.088795304946974130e-03
2.600000000000000089e-01,7.627973333330146932e-01,8.544560289858428581e-03
2.800000000000000266e-01,7.708506666663412776e-01,8.788078543787771271e-03
2.999999999999999889e-01,7.646879999996800681e-01,9.473173638240845254e-03
3.200000000000000067e-01,7.811866666663378478e-01,1.070293530351564860e-02
3.400000000000000244e-01,7.923333333330006001e-01,1.098170370211260134e-02
3.599999999999999867e-01,8.110613333329901309e-01,1.138852110725021433e-02
3.800000000000000044e-01,8.091439999996580257e-01,1.176361000796780770e-02
4.000000000000000222e-01,8.513493333329729129e-01,1.384915143375963463e-02
4.199999999999999845e-01,8.790186666662913595e-01,1.598783548996474471e-02
4.400000000000000022e-01,8.979039999996174526e-01,1.843943920678355053e-02
4.600000000000000200e-01,9.059786666662810184e-01,1.955539705280006854e-02
4.799999999999999822e-01,9.120453333329440193e-01,2.040237139043935694e-02
5.000000000000000000e-01,9.279839999996029043e-01,2.173845436524423844e-02
5.200000000000000178e-01,9.307733333329355485e-01,2.304922860083873093e-02
5.400000000000000355e-01,9.318266666662667896e-01,2.235910089472687226e-02
5.600000000000000533e-01,9.080666666662795539e-01,1.826202623910542708e-02
5.799999999999999600e-01,8.878426666662907474e-01,1.321214221755862180e-02
5.999999999999999778e-01,8.637013333329686127e-01,1.230937296113717924e-02
6.199999999999999956e-01,8.666506666663005287e-01,1.191096546784977360e-02
6.400000000000000133e-01,8.608346666663042601e-01,1.101092778669178138e-02
6.600000000000000311e-01,8.501999999996426860e-01,1.002072185308171791e-02
6.800000000000000488e-01,8.634746666663009051e-01,1.004532237134270201e-02
6.999999999999999556e-01,8.567866666663057629e-01,1.034144926280266066e-02
7.199999999999999734e-01,8.537599999996434708e-01,1.056514107671019040e-02
7.399999999999999911e-01,8.427573333329783090e-01,1.072255249656366670e-02
7.600000000000000089e-01,8.230506666663172100e-01,9.114810959074275826e-03
7.800000000000000266e-01,7.975679999996647673e-01,9.810774645583114281e-03
8.000000000000000444e-01,7.540693333330179549e-01,8.166408943921265803e-03
8.199999999999999512e-01,7.263066666663551274e-01,1.085563517043489079e-02
8.399999999999999689e-01,6.579679999997263273e-01,5.363150072690807055e-03
8.599999999999999867e-01,5.853013333330896462e-01,4.084093272543332966e-03
8.800000000000000044e-01,5.276133333331164410e-01,3.528045368511520830e-03
9.000000000000000222e-01,4.997733333331270678e-01,3.399931205322244583e-03
