gamma,Ttrap,sd
1.600000000000000033e-01,8.602319999996270727e-01,2.382266317374794745e-02
1.799999999999999933e-01,8.676266666662904026e-01,2.626308147042559493e-02
2.000000000000000111e-01,8.659999999996190745e-01,2.490908104415560931e-02
2.200000000000000011e-01,8.853066666662813278e-01,2.640604181707282075e-02
2.399999999999999911e-01,8.930026666662747026e-01,2.572622112762187538e-02
2.600000000000000089e-01,8.837653333329456018e-01,2.679266165270914254e-02
2.800000000000000266e-01,8.890906666662794500e-01,2.765515114440524058e-02
2.999999999999999889e-01,9.037653333329401795e-01,2.574706720669927770e-02
3.200000000000000067e-01,9.157493333329341789e-01,2.560544438664230302e-02
3.400000000000000244e-01,9.202453333329393415e-01,2.580175715824658753e-02
3.599999999999999867e-01,9.191093333329388715e-01,2.520835699210595415e-02
3.800000000000000044e-01,9.009173333329494326e-01,2.045911754631311516e-02
4.000000000000000222e-01,9.179893333329411931e-01,2.228135843694920015e-02
4.199999999999999845e-01,9.261039999996013572e-01,2.052898523682781390e-02
4.400000000000000022e-01,9.568959999995876320e-01,2.670670869087826693e-02
4.600000000000000200e-01,9.523253333329211312e-01,2.393736976507296679e-02
4.799999999999999822e-01,9.584693333329190601e-01,2.606929632595351293e-02
5.000000000000000000e-01,9.658799999995824059e-01,2.732807629955065140e-02
5.200000000000000178e-01,9.559333333329185223e-01,2.387417623888942950e-02
5.400000000000000355e-01,9.241519999996068435e-01,2.117341679051906733e-02
5.600000000000000533e-01,9.146106666662753293e-01,1.747998840773919843e-02
5.799999999999999600e-01,9.002239999996184405e-01,1.717691951491631674e-02
5.999999999999999778e-01,8.801813333329616684e-01,1.512708058350347926e-02
6.199999999999999956e-01,8.902293333329576175e-01,1.510001270864150431e-02
6.400000000000000133e-01,8.800613333329616594e-01,1.363624264095768777e-02
6.600000000000000311e-01,8.762346666662950145e-01,1.446604610158325026e-02
6.800000000000000488e-01,8.689946666662976549e-01,1.333050760365381629e-02
6.999999999999999556e-01,8.395413333329813099e-01,1.252398790147581098e-02
7.199999999999999734e-01,8.089573333329908023e-01,1.036237972000238032e-02
7.399999999999999911e-01,7.447866666663591761e-01,9.251651673626815411e-03
7.600000000000000089e-01,7.039013333330372824e-01,8.375487273947339675e-03
7.800000000000000266e-01,6.595333333330609671e-01,7.318242859552978249e-03
8.000000000000000444e-01,5.943813333330885129e-01,5.804459508177183154e-03
8.199999999999999512e-01,5.372719999997810358e-01,4.524486837956575962e-03
8.399999999999999689e-01,4.871493333331314846e-01,4.069843528735441786e-03
8.599999999999999867e-01,4.499253333331524329e-01,3.758743151086761311e-03
8.800000000000000044e-01,4.301519999998295596e-01,3.377600509916524503e-03
9.000000000000000222e-01,3.965039999998384301e-01,3.714869218401594536e-03
