Dr, alpha, sd
0.00000 0.1267310808 0.0156379320
0.00010 0.1695126366 0.0350059323
0.00020 0.4242660057 0.0447428865
0.00030 0.6264926414 0.0464062763
0.00050 0.7418589407 0.0447064180
0.00100 0.7951103517 0.0425706410
0.00300 0.8716042676 0.0448987935
0.00500 0.9028362558 0.0420361215
0.01000 0.8522668647 0.0380286503
0.01500 0.8504202982 0.0377400280
0.02000 0.8177769860 0.0345874333
0.02500 0.8296247152 0.0445160342
0.03000 0.8304892196 0.0300690548
0.03500 0.8053512424 0.0522220764
0.04000 0.8026701081 0.0328579070
0.04500 0.7865897411 0.0424668615
0.05000 0.7313889639 0.0367176460
0.05500 0.7512250796 0.0363822542
0.06000 0.7935465607 0.0413826140
0.06500 0.7872752618 0.0441178047
0.07000 0.7563354285 0.0434585004
0.07500 0.7835959211 0.0350718865
0.08000 0.6782057810 0.0439115762
0.08500 0.6456606120 0.0383808517
0.09000 0.6743075339 0.0375366208
0.09500 0.7192557307 0.0396070356
0.10000 0.7782556920 0.0329755325
