Dr, alpha, sd
0.00000 0.0430138221 0.0319072367
0.00500 0.2201096838 0.0381134205
0.01000 0.3086462363 0.0372953080
0.01500 0.4501196030 0.0450765801
0.02000 0.4325535036 0.0472307844
0.02500 0.4748538437 0.0397554764
0.03000 0.5148400060 0.0381459041
0.03500 0.5119765325 0.0429407941
0.04000 0.5304101648 0.0467565025
0.04500 0.5337041127 0.0370638703
0.05000 0.4963838858 0.0396557040
0.05500 0.4926930699 0.0395312668
0.06000 0.5337393764 0.0527774703
0.06500 0.5156639688 0.0368774108
0.07000 0.5667969646 0.0479963230
0.07500 0.5039840548 0.0418895784
0.08000 0.5667052019 0.0504129939
0.08500 0.5558882916 0.0385790891
0.09000 0.4525034655 0.0433790156
0.09500 0.4563117756 0.0434057932
0.10000 0.5187307853 0.0386632927
