f,R_mean
5.000000000000000278e-02,5.421890306556766959e-01
1.000000000000000056e-01,5.250795993315745536e-01
2.000000000000000111e-01,4.706461150547036620e-01
2.999999999999999889e-01,4.498027291116415416e-01
4.000000000000000222e-01,3.824009960247923279e-01
5.000000000000000000e-01,3.451397058338527279e-01
5.999999999999999778e-01,2.963587521851864248e-01
6.999999999999999556e-01,3.336146019339841229e-01
8.000000000000000444e-01,2.783826951397190830e-01
9.000000000000000222e-01,4.339341382371401101e-01
1.000000000000000000e+00,3.853125027814090497e-01
